,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Viola,0.2,1,0,5,0,0,0,0,0,0,0,0,8,87,75,0,0
1,"Balz,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,75,0,0
2,Stefan,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,75,0,0
3,Bräunling,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,75,0,0
4,undTherese,0.1,0,0,10,0,0,0,0,0,0,0,0,8,3,75,0,0
5,Walther,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,75,0,0
6,Meine,0.2,1,0,5,0,0,0,0,0,0,0,0,12,48,98,0,1
7,"Krankheit,",0.1,1,0,10,0,0,0,0,0,0,0,0,12,5,98,0,1
8,mein,0.0,0,0,4,0,0,0,0,0,0,0,0,12,5,98,0,1
9,Medikament,0.1,1,0,10,0,0,0,0,0,0,0,0,12,5,98,0,1
10,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,98,0,1
11,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,98,0,1
12,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,47,115,0,0
13,atypischen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,115,0,0
14,Neuroleptika,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,115,0,0
15,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,115,0,0
16,neue,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,115,0,0
17,Identitätsstifter,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,3,115,0,0
18,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,115,0,0
19,Psychiatrie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,115,0,0
20,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,43,163,0,0
21,Psychiatrie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,163,0,0
22,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,163,0,0
23,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,163,0,0
24,historische,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,163,0,0
25,Disziplin.,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,163,0,0
26,Zwar,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,163,0,0
27,umfasst,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,163,0,0
28,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,163,0,0
29,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,163,0,0
30,kaum,0.0,0,0,4,0,0,0,0,0,0,0,0,8,43,21,0,0
31,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
32,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
33,zweihundert,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
