,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Markus,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,161,74,0,0
1,Fellner,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,74,0,0
2,Psychiatrie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,51,97,0,1
3,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,97,0,1
4,verrückte,0.0,0,0,9,0,0,0,0,0,0,0,0,12,5,97,0,1
5,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,97,0,1
6,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,97,0,1
7,Spielfilm,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,5,97,0,1
8,Diskursanalytische,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,51,114,0,0
9,Untersuchung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,114,0,0
10,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,114,0,0
11,Spielfilms,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,114,0,0
12,llGirllnterrupted«,0.05555555555555555,0,0,18,0,0,0,0,0,0,0,0,8,3,114,0,0
13,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,43,162,0,0
14,Psychiatrie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,162,0,0
15,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,162,0,0
16,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,162,0,0
17,beliebtes,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,162,0,0
18,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,162,0,0
19,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,162,0,0
20,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,162,0,0
21,beliebter,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,162,0,0
22,Handlungsschau­,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,162,0,0
23,platz,0.0,0,0,5,0,0,0,0,0,0,0,0,8,43,21,0,0
24,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
25,Spielfilmen.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
26,",>Der",0.2,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
27,Psychiatrie-Film«,0.11764705882352941,1,0,17,0,0,0,0,0,0,0,0,8,3,21,0,0
28,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
29,mittlerweile,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
30,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
31,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
32,eige­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
33,nes,0.0,0,0,3,0,0,0,0,0,0,0,0,8,43,21,0,0
34,Filmgenre,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,5,21,0,0
35,betrachtet,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
36,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,21,0,0
37,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,5,21,0,0
38,allerdings,0.0,0,0,10,0,0,0,0,0,0,0,0,8,6,21,0,0
39,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
40,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
41,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
42,heterogenes,0.0,0,0,11,0,0,0,0,0,0,0,0,8,5,21,0,0
43,"Genre,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,43,21,0,0
44,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
45,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
46,verschiedensten,0.0,0,0,15,0,0,0,0,0,0,0,0,8,4,21,0,0
47,Themen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
48,beinhaltet,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
49,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
50,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
51,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
52,gut,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
53,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
54,alle,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
55,großen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,43,21,0,0
56,Genregattungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
57,eingebettet,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
58,ist.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
59,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
60,Psychiatrie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
61,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
62,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
63,Spielfilmen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
64,beispielsweise,0.0,0,0,14,0,0,0,0,0,0,0,0,8,43,22,0,0
