,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Alexandra,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,154,75,0,1
1,Holzer,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,75,0,1
2,Junge,0.2,1,0,5,0,0,0,0,0,0,0,0,12,78,98,0,1
3,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,98,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,98,0,1
5,illegale,0.0,0,0,8,0,0,0,0,0,0,0,0,12,5,98,0,1
6,Drogen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,98,0,1
7,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,55,114,0,1
8,Suche,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,114,0,1
9,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,114,0,1
10,identitätsstiftenden,0.0,0,0,20,0,0,0,0,0,0,0,0,7,3,114,0,1
11,Aspekten,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,114,0,1
12,im,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,114,0,1
13,Spannungsfeld,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,3,114,0,1
14,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,114,18,0,1
15,"Struktur,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,18,0,1
16,Handlung,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,18,0,1
17,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,18,0,1
18,Subjekt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,18,0,1
19,Intensität,0.1,1,0,10,0,0,0,0,0,0,0,0,8,57,173,0,0
20,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
21,Beherrschbarkeit,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,173,0,0
22,konstituieren,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,173,0,0
23,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
24,spezifisch,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,173,0,0
25,moder­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,173,0,0
26,ne,0.0,0,0,2,0,0,0,0,0,0,0,0,8,57,21,0,0
27,Ambivalenz,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
28,gegenüber,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
29,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
30,"Rausch,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
31,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
32,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
33,temporär,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
34,Erlösung,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
35,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,57,21,0,0
36,Alltagszwängen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
37,ebenso,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
38,gesucht,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
39,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
40,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
41,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
42,permanentes,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
43,Ver­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
44,sagen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,57,21,0,0
45,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
46,diesen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
47,Alltagszwängen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,21,0,0
48,vermieden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
49,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
50,soll.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
51,Manche,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
52,Jugendliche,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,57,21,0,0
53,leben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
54,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
55,Muster,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
56,heute,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
57,modellhaft,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
58,vor:,0.0,0,0,4,0,0,1,0,0,0,0,0,8,3,21,0,0
59,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
60,Ecstasy­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
61,Wochenende,0.1,1,0,10,0,0,0,0,0,0,0,0,8,57,21,0,0
62,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,21,0,0
63,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
64,Disco,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
65,ergänzt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
66,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
67,konform-fleißige,0.0,0,0,16,0,0,0,0,0,0,0,0,8,4,21,0,0
68,Arbeits­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
69,woche,0.0,0,0,5,0,0,0,0,0,0,0,0,8,57,21,0,0
70,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
71,macht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
72,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
73,psychisch,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,21,0,0
74,erst,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
75,möglich.,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
76,"(Legnaro,",0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
77,"2000,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,2,21,0,0
78,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
79,19).,0.0,0,0,4,2,0,0,0,0,0,0,0,8,3,21,0,0
80,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,41,272,0,0
81,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,272,0,0
82,Drogenbeauftragte,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,5,272,0,0
83,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,272,0,0
84,"Bundesregierung,",0.0625,1,0,16,0,0,0,0,0,0,0,0,8,5,272,0,0
85,Marion,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,272,0,0
86,Caspers-Merk,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,8,5,272,0,0
87,"(SPD),",0.5,0,0,6,0,0,0,0,0,0,0,0,8,42,21,0,0
88,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
89,Sucht-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
90,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
91,Drogenbericht,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
92,2000,0.0,0,0,4,4,0,0,0,0,0,1,1,8,3,21,0,0
93,"vorstellte,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
94,führte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
95,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
96,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
97,darin,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
98,enthaltene,0.0,0,0,10,0,0,0,0,0,0,0,0,8,42,21,0,0
99,gestiegene,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,21,0,0
100,Anzahl,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
101,jugendlicher,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
102,Drogenkonsumentlinnen,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,8,2,21,0,0
103,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
104,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
105,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,42,21,0,0
106,genannte,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
107,»Spaßkultur«,0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,8,6,21,0,0
108,zurück.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,21,0,0
109,Denn,0.25,1,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
110,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
111,setze,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
112,Jugendliche,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
113,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
114,"Druck,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,41,21,0,0
115,am,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
116,Wochenende,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
117,"»cool,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
118,fit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
119,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
120,gut,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
121,drauf«,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
122,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
123,sein.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
124,Um,0.5,1,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
125,dies,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
126,leisten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
127,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,41,21,0,0
128,"können,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
129,konsumierten,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
130,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
131,junge,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
132,Leute,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
133,beschleunigende,0.0,0,0,15,0,0,0,0,0,0,0,0,8,4,21,0,0
134,Drogen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
