,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Roman,0.2,1,0,5,0,0,0,0,0,0,0,0,8,161,75,0,0
1,Janda,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,75,0,0
2,Design,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,138,98,0,1
3,your,0.0,0,0,4,0,0,0,0,0,0,0,0,12,5,98,0,1
4,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,98,0,1
5,Über,0.25,1,0,4,0,0,0,0,0,0,0,0,8,65,114,0,0
6,Psychopharmaka,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,114,0,0
7,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,114,0,1
8,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,114,0,0
9,Inszenierbarkeit,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,114,0,0
10,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,114,0,0
11,Lebens,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,114,0,0
12,Aus,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,56,173,0,0
13,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,173,0,0
14,"Notwendigkeit,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,173,0,0
15,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,173,0,0
16,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,173,0,0
17,äußeren,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,173,0,0
18,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,173,0,0
19,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,173,0,0
20,"brechen,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,173,0,0
21,ergibt,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,173,0,0
22,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,56,21,0,0
23,somit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
24,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
25,komplementäre,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
26,"Notwendigkeit,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,21,0,0
27,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
28,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
29,allen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
30,Stücken,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
31,neues,0.0,0,0,5,0,0,0,0,0,0,0,0,8,56,21,0,0
32,gesellschaftliches,0.0,0,0,18,0,0,0,0,0,0,0,0,8,4,21,0,0
33,Laboratorium,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
34,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
35,"konstruieren,",0.0,0,0,13,0,0,0,0,0,0,0,0,8,4,21,0,0
36,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
37,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
38,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
39,menschliche,0.0,0,0,11,0,0,0,0,0,0,0,0,8,56,21,0,0
40,Existenz,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
41,umprogrammiert,0.0,0,0,14,0,0,0,0,0,0,0,0,8,2,21,0,0
42,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
43,kann.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
44,"(eastel,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
45,1976),0.0,0,0,5,4,0,0,0,0,0,0,0,8,3,21,0,0
46,Während,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,41,232,0,0
47,gegenwärtig,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,232,0,0
48,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,232,0,0
49,Gentherapie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,232,0,0
50,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,232,0,0
51,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,232,0,0
52,ihren,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,232,0,0
53,Kinderschuhen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,232,0,0
54,steckt,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,232,0,0
55,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,41,21,0,0
56,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
57,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
58,Stadium,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
59,Gegenstand,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
60,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
61,höchst,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
62,metaphorischen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,4,21,0,0
63,mora­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
64,lisch-ethischen,0.0,0,0,15,0,0,0,0,0,0,0,0,8,42,21,0,0
65,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
66,"wird,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
67,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
68,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
69,andere,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
70,"Biotechnologie,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,21,0,0
71,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
72,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
73,weniger,0.0,0,0,7,0,0,0,0,0,0,0,0,8,41,21,0,0
74,rigoros,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
75,"vorgeht,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
76,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
77,Stadium,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
78,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
79,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
80,Aspekt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
81,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
82,Notwendig­,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,21,0,0
83,keit,0.0,0,0,4,0,0,0,0,0,0,0,0,8,41,21,0,0
84,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
85,überwunden.,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
