,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Ulrich,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,165,75,0,0
1,KobM,0.5,1,0,4,0,0,0,0,0,0,0,0,9,3,75,0,0
2,"Trauma,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,80,98,0,1
3,Psychopathie,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,5,98,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,98,0,1
5,Politik,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,5,98,0,1
6,Zum,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,84,114,0,1
7,biologistischen,0.0,0,0,15,0,0,0,0,0,0,0,0,8,3,114,0,0
8,Retro,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,114,0,0
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,114,0,0
10,Psychopath(olog)ie,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,2,114,0,0
11,Resistenz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,42,163,0,0
12,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,41,183,0,0
13,Diskurse,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,183,0,0
14,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,183,0,0
15,forensischen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,183,0,0
16,Psychiatrie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,183,0,0
17,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,183,0,0
18,derzeit,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,183,0,0
19,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,183,0,0
20,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,183,0,0
21,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,183,0,0
22,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,183,0,0
23,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,41,21,0,0
24,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
25,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
26,sog.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
27,»behandlungsunfähige«,0.0,0,0,21,0,0,0,0,0,0,0,0,8,5,21,0,0
28,Patienten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,5,21,0,0
29,bestimmt.,0.0,0,0,9,0,0,0,0,0,0,0,0,8,5,21,0,0
30,So,0.5,1,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
31,geben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,41,21,0,0
32,Kammeier,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
33,et,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
34,al.,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
35,(1998),0.0,0,0,6,4,0,0,0,0,0,0,0,8,4,21,0,0
36,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
37,Vorspann,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
38,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
