,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,8,161,75,0,0
1,Lehmann,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,75,0,0
2,Behandlungsergebnis,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,12,77,97,0,1
3,Selbsttötung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,4,97,0,1
4,Suizidalität,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,50,113,0,0
5,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,113,0,0
6,mögliche,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,113,0,0
7,Wirkung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,1,113,0,0
8,psychiatrischer,0.0,0,0,15,0,0,0,0,0,0,0,0,8,3,113,0,0
9,Psychopharmaka',0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,113,0,0
10,Psychopharmaka-assoziierte,0.038461538461538464,1,0,26,0,0,0,0,0,0,0,0,9,44,160,0,0
11,Depressionen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,160,0,0
12,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,160,0,0
13,Suizidalität,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,160,0,0
14,Depressionen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,44,179,0,0
15,können,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,179,0,0
16,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,179,0,0
17,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,179,0,0
18,Vielzahl,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,179,0,0
19,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,179,0,0
20,Ursachen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,179,0,0
21,ausgelöst,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,179,0,0
22,werden:,0.0,0,0,7,0,0,1,0,0,0,0,0,8,2,179,0,0
23,Psychosoziale,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,44,21,0,0
24,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
25,politische,0.0,0,0,10,0,0,0,0,0,0,0,0,8,6,21,0,0
26,"Umstände,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,6,21,0,0
27,neurologische,0.0,0,0,13,0,0,0,0,0,0,0,0,8,6,21,0,0
28,"Erkrankungen,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,6,21,0,0
29,"Stoffwechselstörungen,",0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,8,44,21,0,0
30,"Altersabbauprozesse,",0.05,1,0,20,0,0,0,0,0,0,0,0,8,4,21,0,0
31,"Viren,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
32,toxikologische,0.0,0,0,14,0,0,0,0,0,0,0,0,8,5,21,0,0
33,Sub­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
34,"stanzen,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,44,21,0,0
35,"Medikamente,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
36,Psychopharmaka,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
37,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
38,vieles,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
39,mehr.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
40,Speziell,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
41,Neuro­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
42,"leptika,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,44,21,0,0
43,sogenannte,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
44,antipsychotische,0.0,0,0,16,0,0,0,0,0,0,0,0,8,4,21,0,0
45,Medikamente,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
46,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
47,z.,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
48,B.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
49,Haloperidol,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
50,(im,0.0,0,0,3,0,0,0,0,0,0,0,0,8,44,21,0,0
51,Handel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
52,u.a.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
53,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
54,Haldol),0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
55,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
56,Clozapin,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
57,(im,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
58,Handel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
59,u.a.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
60,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
61,"Leponex),",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
62,lösen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,44,22,0,0
63,häufig,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,22,0,0
64,Depressionen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,22,0,0
65,aus.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,22,0,0
66,Neuroleptika,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,61,21,0,0
67,wirken,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
68,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
69,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
70,Blockade,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
71,speziell,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
72,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
73,Nervenimpuls­,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
74,überträgerstoffs,0.0,0,0,16,0,0,0,0,0,0,0,0,8,44,21,0,0
75,Dopamin,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
76,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
77,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
78,"Ergebnis,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,21,0,0
79,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
80,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
81,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
82,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
83,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
84,weni­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
85,ger,0.0,0,0,3,0,0,0,0,0,0,0,0,8,44,21,0,0
86,subtiles,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
87,Parkinsonoid,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
88,einstellt.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
89,Dies,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
90,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
91,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
92,Symptomenkomplex,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,4,21,0,0
93,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
94,"Parkinsonkrankheit,",0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,44,21,0,0
95,charakterisiert,0.0,0,0,15,0,0,0,0,0,0,0,0,8,2,21,0,0
96,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
97,gebeugten,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
98,"Gang,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
99,Muskelzittern,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
100,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,44,21,0,0
101,verwaschene,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
102,Sprache.,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
103,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
104,Parkinsonoid,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
105,entsteht,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
106,regelhaft,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
107,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
108,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
109,Dopaminblokkade.,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,44,21,0,0
110,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
111,Erscheinungsbild,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,5,21,0,0
112,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
113,Parkinsonoids,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,5,21,0,0
114,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
115,jeweils,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,21,0,0
116,"dasselbe,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,44,21,0,0
117,sei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
118,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,21,0,0
119,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
120,"Altersabbauprozesse,",0.05,1,0,20,0,0,0,0,0,0,0,0,8,5,21,0,0
121,Bleivergiftung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,5,21,0,0
122,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
123,Neuro­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
124,leptika,0.0,0,0,7,0,0,0,0,0,0,0,0,8,44,21,0,0
125,hergestellt.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
126,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
127,Potenz,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
128,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
129,Neuroleptika,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
130,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
131,definiert,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
132,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
133,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
134,"Kraft,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,44,21,0,0
135,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
136,Parkinsonoid,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
137,auszulösen;,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
138,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
139,handelt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
140,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
