,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Heiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,133,76,0,1
1,Keupp,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,76,0,1
2,Prioritäten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,46,99,0,1
3,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,99,0,1
4,Sozial,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,99,0,0
5,psychiatrie,0.0,0,0,11,0,0,0,0,0,0,0,0,12,1,99,0,0
6,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,99,0,1
7,globalisierten,0.0,0,0,14,0,0,0,0,0,0,0,0,12,69,28,0,1
8,Kapitalismus,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,5,28,0,1
9,1,0.0,0,0,1,1,0,0,0,0,0,0,1,8,1,28,0,1
10,Jeden,0.2,1,0,5,0,0,0,0,0,0,0,0,8,12,181,0,0
11,Tag,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,181,0,0
12,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,181,0,0
13,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,181,0,0
14,"hören,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,181,0,0
15,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,181,0,0
16,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,181,0,0
17,"Zeiten,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,181,0,0
18,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,181,0,0
19,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,181,0,0
20,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,181,0,0
21,soziale,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,181,0,0
22,Reform­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,181,0,0
23,bewegungen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,13,21,0,0
24,formiert,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
25,"hätten,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
26,endgültig,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
27,vorbei,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
28,seien.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
29,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
30,seien,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
31,Bewegungen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
32,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,12,21,0,0
33,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
34,Plateau,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
35,entwickelter,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
36,Wohlfahrtsstaaten,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,4,21,0,0
37,gewesen.,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
38,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
39,hätten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
40,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
41,wesentlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,12,21,0,0
42,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
43,weiteren,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
44,Ausbau,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
45,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
46,Wohlfahrtssysteme,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,4,21,0,0
47,gefordert,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
48,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,12,21,0,0
49,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
50,nachholende,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
51,Modernisierung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,21,0,0
52,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
53,gesellschaftliche,0.0,0,0,17,0,0,0,0,0,0,0,0,8,4,21,0,0
54,Bereiche,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
