,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Barbara,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,126,79,0,0
1,Kreilinger,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,79,0,0
2,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,19,102,0,1
3,vier,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,102,0,1
4,Schwestern,0.1,1,0,10,0,0,0,0,0,0,0,0,12,4,102,0,1
5,als,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,102,0,1
6,Überlebensstrategie,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,12,5,102,0,1
7,))Ich,0.2,0,0,5,0,0,0,0,0,0,0,0,8,24,119,0,0
8,weine,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,119,0,0
9,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,119,0,0
10,meine,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,119,0,0
11,Schwestern.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,119,0,0
12,Ich,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,119,0,0
13,möchte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,119,0,0
14,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,119,0,0
15,"behalten,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,119,0,0
16,sonst,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,119,0,0
17,würde,0.0,0,0,5,0,0,0,0,0,0,0,0,8,111,19,0,0
18,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
19,einsam,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
20,sein.«,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
21,1,0.0,0,0,1,1,0,0,0,0,0,0,1,5,0,19,0,0
22,»Romantiker,0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,8,33,207,0,0
23,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,207,0,0
24,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,207,0,0
25,Wissenschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,207,0,0
26,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,207,0,0
27,weder,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,207,0,0
28,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,207,0,0
29,"Bedürfnis,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,207,0,0
30,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,207,0,0
31,lebende,0.0,0,0,7,0,0,0,0,0,0,0,0,8,33,21,0,0
32,Wirklichkeit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,21,0,0
33,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,21,0,0
34,elementare,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
35,Komponenten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,21,0,0
36,"aufzuspalten,",0.0,0,0,13,0,0,0,0,0,0,0,0,8,5,21,0,0
37,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,32,21,0,0
