,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Daniel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,137,77,0,0
1,Sanin,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,77,0,0
2,Identität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,54,100,0,1
3,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,100,0,1
4,maximalen,0.0,0,0,9,0,0,0,0,0,0,0,0,12,5,100,0,1
5,Kontext­,0.125,1,0,8,0,0,0,0,0,0,0,0,12,5,100,0,1
6,Horkheimer,0.1,1,0,10,0,0,0,0,0,0,0,0,12,79,28,0,1
7,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,28,0,1
8,Adornos,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,28,0,1
9,»Dialektik,0.1,0,0,10,0,0,0,0,0,0,0,0,12,77,28,0,1
10,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,28,0,1
11,Aufklärung«,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,28,0,1
12,Ohne,0.25,1,0,4,0,0,0,0,0,0,0,0,8,31,196,0,0
13,Hoffnung,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,196,0,0
14,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,196,0,0
15,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,196,0,0
16,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,196,0,0
17,Dasein,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,196,0,0
18,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,196,0,0
19,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,196,0,0
20,"Wissen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,196,0,0
21,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,196,0,0
22,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,196,0,0
23,bildhaften,0.0,0,0,10,0,0,0,0,0,0,0,0,8,32,21,0,0
24,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
25,mathematischen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,4,21,0,0
26,Symbol,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
27,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
28,Dasein,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
29,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
30,Schema,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
31,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,31,21,0,0
32,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,21,0,0
33,eigen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
34,macht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
36,perpetuiert.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,21,0,0
37,(Horkheimer,0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,8,5,21,0,0
38,&,0.0,0,0,1,0,0,0,0,0,0,0,0,9,5,21,0,0
39,"Adorno,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,21,0,0
40,"1988,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,32,22,0,0
41,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,22,0,0
42,34),0.0,0,0,3,2,0,0,0,0,0,0,0,8,3,22,0,0
43,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,15,270,0,0
44,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,6,270,0,0
45,»Dialektik«:,0.08333333333333333,0,0,12,0,0,1,0,0,0,0,0,9,3,270,0,0
46,aktuell,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,270,0,0
47,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,270,0,0
48,passe?,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,270,0,0
49,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,8,14,289,0,0
50,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,289,0,0
51,1944,0.0,0,0,4,4,0,0,0,0,0,1,1,8,3,289,0,0
52,legten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,289,0,0
53,Max,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,289,0,0
54,Horkheimer,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,289,0,0
55,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,289,0,0
56,Theodor,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,289,0,0
57,W.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,289,0,0
58,Adorno,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,289,0,0
59,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,289,0,0
60,Werk,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,289,0,0
61,"vor,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,14,21,0,0
62,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
63,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
64,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
65,grundlegenden,0.0,0,0,13,0,0,0,0,0,0,0,0,8,5,21,0,0
66,Ebene,0.2,1,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
67,"versuchte,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
68,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
69,Wahnsinn,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,21,0,0
70,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
71,Faschismus,0.1,1,0,10,0,0,0,0,0,0,0,0,8,14,21,0,0
72,beziehungsweise,0.0,0,0,15,0,0,0,0,0,0,0,0,8,3,21,0,0
73,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
74,Nationalsozialismus,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,3,21,0,0
75,theoretisch,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
76,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
77,erfas­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
