,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Martin,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,128,76,1,1
1,Schätzle,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,76,1,1
2,Qualitätsmanagement,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,12,36,99,0,1
3,als,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,99,0,1
4,Bedrohung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,5,99,0,1
5,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,121,28,0,1
6,Qualität,0.125,1,0,8,0,0,0,0,0,0,0,0,12,4,28,0,1
7,Werkstattbericht,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,25,132,0,1
8,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,132,0,1
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,132,0,1
10,OM-Arbeit,0.3333333333333333,1,0,9,0,0,0,0,0,0,0,0,8,2,132,0,1
11,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,132,0,1
12,Behinderteninstitutionen,0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,8,3,132,0,1
13,Nicht,0.2,1,0,5,0,0,0,0,0,0,0,0,8,11,180,0,0
14,jeder,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,180,0,0
15,vermag,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,180,0,0
16,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,180,0,0
17,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,180,0,0
18,Dauer,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,180,0,0
19,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,180,0,0
20,komplexen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,180,0,0
21,Anforderungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,180,0,0
22,unserer,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,180,0,0
23,modernen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,11,21,0,0
24,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,21,0,0
25,anzupassen.,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
26,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
27,heutigen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
28,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
29,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
30,"mobil,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
31,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,11,21,0,0
32,sozialen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,21,0,0
33,Verbände,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,21,0,0
34,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
35,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,6,21,0,0
36,gelockert,0.0,0,0,9,0,0,0,0,0,0,0,0,8,5,21,0,0
37,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
38,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
39,Tragfähigkeit,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,5,21,0,0
