,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Wolfgang,0.125,1,0,8,0,0,0,0,0,0,0,0,8,112,77,0,0
1,Schmidbauer,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,77,0,1
2,Ärztin,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,73,101,0,1
3,am,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,101,0,1
4,Gesundheitsamt,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,5,101,0,1
5,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,13,152,0,0
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,152,0,0
7,Hausmeister,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,152,0,0
8,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,152,0,0
9,Tür,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,152,0,0
10,aufgesperrt,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,152,0,0
11,"hatte,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,152,0,0
12,öffnete,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,152,0,0
13,er,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,152,0,0
14,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,152,0,0
15,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,152,0,0
16,Spalt,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,152,0,0
17,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,13,21,0,0
18,zischte,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
19,hastig,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
20,hinein:,0.0,0,0,7,0,0,1,0,0,0,0,0,8,3,21,0,0
21,»Frau,0.2,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
22,"Mayerlein,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
23,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
24,Damen,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
25,vom,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
26,Gesundheits­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
27,amt!«,0.0,0,0,5,0,0,0,0,0,0,0,0,8,13,21,0,0
