,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Daniel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,99,76,0,0
1,White,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,76,0,0
2,&,0.0,0,0,1,0,0,0,0,0,0,0,0,9,3,76,0,0
3,Gert,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,76,0,0
4,Hellerich,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,76,0,0
5,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,43,100,0,1
6,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,5,100,0,1
7,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,100,0,1
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,100,0,1
9,Wahnsinn,0.125,1,0,8,0,0,0,0,0,0,0,0,12,2,100,0,1
10,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,48,117,0,0
11,moderne,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,117,0,0
12,Reduktion,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,117,0,0
13,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,117,0,0
14,Wahnsinns,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,1,117,0,0
15,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,117,0,0
16,Krankheit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,117,0,0
17,Ob,0.5,1,0,2,0,0,0,0,0,0,0,0,8,13,165,0,0
18,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,165,0,0
19,Wahnsinn,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,165,0,0
20,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,165,0,0
21,"Hilfesystemen,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,165,0,0
22,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,165,0,0
23,dies,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,165,0,0
24,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,165,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,165,0,0
26,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,165,0,0
27,Shorter,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,165,0,0
28,interpre­,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,165,0,0
29,tierten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,13,21,0,0
30,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
31,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
32,Psychiatrie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
