,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Martin,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,121,77,0,0
1,Wal/schläger,0.08333333333333333,1,0,12,0,1,0,0,0,0,0,0,8,2,77,0,0
2,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,59,101,0,1
3,richtiges,0.0,0,0,9,0,0,0,0,0,0,0,0,12,5,101,0,1
4,Leben,0.2,1,0,5,0,0,0,0,0,0,0,0,12,5,101,0,1
5,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,101,0,1
6,Falschen,0.125,1,0,8,0,0,0,0,0,0,0,0,12,5,101,0,1
7,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,12,98,28,0,1
8,es,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,28,0,1
9,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,12,5,28,0,1
10,geben,0.0,0,0,5,0,0,0,0,0,0,0,0,12,4,28,0,1
11,Warum,0.2,1,0,5,0,0,0,0,0,0,0,0,8,22,134,0,0
12,Reformen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,134,0,0
13,vieles,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,134,0,0
14,"verbessern,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,134,0,0
15,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,134,0,0
16,selten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,134,0,0
17,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,134,0,0
18,wirklich,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,134,0,0
19,neuen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,134,0,0
20,Qualitäten,0.1,1,0,10,0,0,0,0,0,0,0,0,8,54,19,0,0
21,führen:,0.0,0,0,7,0,0,1,0,0,0,0,0,8,3,19,0,0
22,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
23,reflexiver,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
24,Erfahrungsbericht',0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,2,19,0,0
25,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,14,195,0,0
26,"Zeiten,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,195,0,0
27,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,195,0,0
28,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,195,0,0
29,ökonomische,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,195,0,0
30,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,195,0,0
31,gesellschaftliche,0.0,0,0,17,0,0,0,0,0,0,0,0,8,2,195,0,0
32,Widersprüche,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,195,0,0
33,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,195,0,0
34,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,14,21,0,0
35,Brüchen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
36,realer,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
37,Lebenswelten,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
38,schmerzlich,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
39,manifestierten,0.0,0,0,14,0,0,0,0,0,0,0,0,8,2,21,0,0
40,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
41,dafür,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
42,sorg­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
43,"ten,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,14,21,0,0
44,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
45,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
46,Protestpotential,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,21,0,0
47,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
48,radikalen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
49,theoretischen,0.0,0,0,13,0,0,0,0,0,0,0,0,8,4,21,0,0
50,Entwürfen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
51,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
52,Handlungskonzepten,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,14,21,0,0
53,"hervorbrachten,",0.0,0,0,15,0,0,0,0,0,0,0,0,8,2,21,0,0
54,"sind,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
55,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
56,scheint,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
57,"es,",0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
58,vorbei.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
59,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
60,meis­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
61,ten,0.0,0,0,3,0,0,0,0,0,0,0,0,8,14,21,0,0
62,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
63,68er,0.0,0,0,4,2,0,0,0,0,0,0,0,8,4,21,0,0
64,Polit-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
65,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
66,Psychiatrieprotagonisten,0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,8,4,21,0,0
67,befinden,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
68,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
69,bereits,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
70,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
