,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Claudia,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,139,64,0,0
1,Franziska,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,64,0,0
2,Bruner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,64,0,0
3,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,72,86,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,86,0,1
5,Behinderung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,5,86,0,1
6,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,86,0,1
7,Diskurs.,0.125,1,0,8,0,0,0,0,0,0,0,0,12,5,86,0,1
8,Empirisch,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,45,103,0,0
9,fundierte,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,103,0,0
10,Anmerkungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,103,0,0
11,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,103,0,0
12,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,103,0,0
13,kulturwissenschaftlichen,0.0,0,0,24,0,0,0,0,0,0,0,0,8,3,103,0,0
14,Verständnis,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,121,19,0,0
15,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
16,Disability,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
17,Studies,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
18,Vorbemerkungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,43,175,0,0
19,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,3,175,0,0
20,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,5,175,0,0
21,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,175,0,0
22,Diskurs,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,175,0,0
23,Gedanklicher,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,43,194,0,0
24,Ausgangspunkt,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,194,0,0
25,1,0.0,0,0,1,1,0,0,0,0,0,0,1,5,0,194,0,0
26,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,194,0,0
27,Beitrags,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,194,0,0
28,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,194,0,0
29,folgende,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,194,0,0
30,Annahme:,0.125,1,0,8,0,0,1,0,0,0,0,0,8,3,194,0,0
31,Kör­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,194,0,0
32,per,0.0,0,0,3,0,0,0,0,0,0,0,0,8,43,22,0,0
33,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,22,0,0
34,unweigerlich,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,22,0,0
35,"vergeschlechtlicht,",0.0,0,0,19,0,0,0,0,0,0,0,0,8,4,22,0,0
36,sozial,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,22,0,0
37,"klassifiziert,",0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,22,0,0
38,ethnisch,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,22,0,0
39,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,22,0,0
40,kulturell,0.0,0,0,9,0,0,0,0,0,0,0,0,8,43,21,0,0
41,codiert,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
42,sowie,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
43,Normalitäts-,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
44,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
45,Ästhetikdiskursen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,4,21,0,0
46,unterworfen.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
47,So,0.5,1,0,2,0,0,0,0,0,0,0,0,8,43,21,0,0
48,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
49,unterschiedliche,0.0,0,0,16,0,0,0,0,0,0,0,0,8,5,21,0,0
50,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
51,unterschiedene,0.0,0,0,14,0,0,0,0,0,0,0,0,8,5,21,0,0
52,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
53,laufend,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
54,hervor­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
55,gebracht,0.0,0,0,8,0,0,0,0,0,0,0,0,8,43,21,0,0
56,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
57,verändert.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
58,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
59,Zuge,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
60,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
61,Herstellungsprozesse,0.05,1,0,20,0,0,0,0,0,0,0,0,8,2,21,0,0
62,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
63,Körpern,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
64,manifestieren,0.0,0,0,13,0,0,0,0,0,0,0,0,8,43,21,0,0
65,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
66,gesellschaftliche,0.0,0,0,17,0,0,0,0,0,0,0,0,8,6,21,0,0
67,Macht-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,6,21,0,0
68,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
69,Dominanzverhältnisse.,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,8,6,21,0,0
70,Deshalb,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,43,21,0,0
71,gehe,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
72,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
73,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
74,sozialen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
75,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
76,kulturellen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
77,Produktionsbedingungen,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,8,4,21,0,0
78,"nach,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,43,21,0,0
79,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
80,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
81,unterliegen2,0.0,0,0,12,1,0,0,0,0,0,0,0,9,3,21,0,0
82,(vgl.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
83,"Bruner,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
84,2005).,0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,21,0,0
85,Empirische,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
86,Basis,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
87,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
88,"Untersuchung,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,43,23,0,0
89,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,23,0,0
90,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,23,0,0
91,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,23,0,0
92,zugrunde,0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,23,0,0
93,"liegt,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,23,0,0
94,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,23,0,0
95,narrativ-biogra­,0.0,0,0,16,0,0,0,0,0,0,0,0,8,5,23,0,0
96,fische,0.0,0,0,6,0,0,0,0,0,0,0,0,8,43,21,0,0
97,Interviews,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
98,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
99,"Frauen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
