,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Claudia,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,167,65,0,0
1,Jost,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,65,0,0
2,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,104,88,0,1
3,"Recht,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,88,0,1
4,Mensch,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,88,0,1
5,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,88,0,1
6,sein.,0.0,0,0,5,0,0,0,0,0,0,0,0,12,5,88,0,1
7,Juristische,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,71,104,0,0
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,104,0,0
9,anthropologische,0.0,0,0,16,0,0,0,0,0,0,0,0,8,3,104,0,0
10,Vorlagen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,104,0,0
11,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,104,0,0
12,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,104,0,0
13,Dasein,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,104,0,0
14,jenseits,0.0,0,0,8,0,0,0,0,0,0,0,0,8,134,18,0,0
15,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,18,0,0
16,Rechtsfähigkeit,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,18,0,0
17,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,44,164,0,0
18,Dilemma,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,164,0,0
19,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,164,0,0
20,Deutungsoffenheit,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,3,164,0,0
21,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,8,44,183,0,0
22,Zuge,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,183,0,0
23,technologischer,0.0,0,0,15,0,0,0,0,0,0,0,0,8,2,183,0,0
24,Veränderungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,183,0,0
25,wächst,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,183,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,183,0,0
27,"Notwendigkeit,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,183,0,0
28,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,183,0,0
29,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,183,0,0
30,Herausforderung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,44,21,0,0
31,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
32,Biomedizin,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,21,0,0
33,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
34,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
35,erweiterten,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
36,Menschenrechts­,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,21,0,0
37,schutz,0.0,0,0,6,0,0,0,0,0,0,0,0,8,44,21,0,0
38,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
39,"reagieren,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
40,zugleich,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
41,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
42,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
43,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
44,Unsicherheit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
45,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
46,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
47,",Natur<",0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
48,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,44,21,0,0
49,menschlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
50,Rechtssubjekts,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
51,selbst.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
52,Einschneidende,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,21,0,0
53,Differenzen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
54,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
55,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,44,21,0,0
56,Verhältnis,0.1,1,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
57,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
58,Humanität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,6,21,0,0
59,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
60,Personalität,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,6,21,0,0
61,offenbaren,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
62,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,6,21,0,0
63,tiefe,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
64,Uneinigkeit,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,43,21,0,0
65,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
66,"Grundsatzentscheidungen,",0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,8,3,21,0,0
67,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
68,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
69,einmal,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
70,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
71,sicher,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
72,hielt:,0.0,0,0,6,0,0,1,0,0,0,0,0,8,3,21,0,0
73,Aufgrund,0.125,1,0,8,0,0,0,0,0,0,0,0,8,44,21,0,0
74,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
75,mannigfachen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,6,21,0,0
76,Kombinierbarkeit,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,6,21,0,0
77,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
78,Transplantations­,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,6,21,0,0
79,"medizin,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,44,21,0,0
80,Genetik,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
81,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
82,Reproduktionsmedizin,0.05,1,0,20,0,0,0,0,0,0,0,0,8,3,21,0,0
83,steht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
84,jetzt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
85,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
86,Seinsstatus,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
87,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
88,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,44,21,0,0
89,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
90,Disposition.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
91,Auch,0.25,1,0,4,0,0,0,0,0,0,0,0,8,60,22,0,0
92,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,22,0,0
93,Menschenrechtskonvention,0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,8,4,22,0,0
94,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,22,0,0
95,Europarats,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,22,0,0
96,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,22,0,0
97,Biomedizin,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,22,0,0
98,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,44,21,0,0
99,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
100,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
101,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
102,"gelungen,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
103,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
104,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
105,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
106,Definition,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
107,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
108,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
109,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
110,eini­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
111,gen.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,43,21,0,0
112,So,0.5,1,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
113,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
114,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
115,darin,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
116,"übereingekommen,",0.0,0,0,16,0,0,0,0,0,0,0,0,8,4,21,0,0
117,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
118,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
