,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Rebecca,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,157,64,0,0
1,Maskos,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,64,0,0
2,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,81,88,0,1
3,Versuch,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,2,88,0,1
4,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,88,0,1
5,Enthinderung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,4,88,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,88,0,1
7,Wissenschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,149,28,0,1
8,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,52,120,0,0
9,Überblick,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,120,0,0
10,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,120,0,0
11,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,120,0,0
12,Disability,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,120,0,0
13,Studies,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,120,0,0
14,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,120,0,0
15,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,120,0,0
16,USA,1.0,1,0,3,0,0,0,0,0,0,0,0,8,3,120,0,0
17,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,120,0,0
18,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,120,0,0
19,Sicht,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,120,0,0
20,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,151,19,0,0
21,Gaststudentin,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,19,0,0
22,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,43,181,0,0
