,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Cornelia,0.125,1,0,8,0,0,0,0,0,0,0,0,8,158,64,0,0
1,Renggli,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,64,0,0
2,Disability,0.1,1,0,10,0,0,0,0,0,0,0,0,12,53,86,0,1
3,Studies,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,86,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,86,0,1
5,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,86,0,1
6,Un-/Sichtbarkeit,0.125,1,0,16,0,1,0,0,0,0,0,0,12,5,86,0,1
7,von,0.0,0,0,3,0,0,0,0,0,0,0,0,12,135,28,0,1
8,Behinderung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,5,28,0,1
9,»In,0.3333333333333333,0,0,3,0,0,0,0,0,0,0,0,8,61,165,0,0
10,my,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,165,0,0
11,"view,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,165,0,0
12,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,165,0,0
13,fundamental,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,165,0,0
14,goal,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,165,0,0
15,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,165,0,0
16,this,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,165,0,0
17,emerging,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,165,0,0
18,field,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,165,0,0
19,is,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,165,0,0
20,to,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,165,0,0
21,reimagine,0.0,0,0,9,0,0,0,0,0,0,0,0,8,60,21,0,0
22,disability«,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
23,"(Garland-Thomson,",0.11764705882352941,0,0,17,0,0,0,0,0,0,0,0,8,4,21,0,0
24,1999).,0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,21,0,0
25,»Mitten,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,9,43,214,0,0
26,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,214,0,0
27,Leben«,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,214,0,0
28,Dieses,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,43,234,0,0
29,Bildl,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,234,0,0
30,-,0.0,0,0,1,0,0,0,0,0,0,0,0,5,5,234,0,0
31,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,234,0,0
32,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,234,0,0
33,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,234,0,0
34,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,234,0,0
