,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Volker,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,109,64,0,0
1,Schönwiese,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,64,0,0
2,&,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,64,0,0
3,Christian,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,64,0,0
4,Mürner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,64,0,0
5,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,63,86,0,1
6,Bildnis,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,5,86,0,1
7,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,12,4,86,0,1
8,behinderten,0.0,0,0,11,0,0,0,0,0,0,0,0,12,5,86,0,1
9,Mannes.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,5,86,0,1
10,Kulturgeschichtliche,0.05,1,0,20,0,0,0,0,0,0,0,0,8,58,102,0,0
11,Studie,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,102,0,0
12,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,102,0,0
13,Behinderung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,102,0,0
14,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,102,0,0
15,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,102,0,0
16,Aktualität.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,1,102,0,0
17,Mit,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,79,18,0,0
18,Beiträgen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,18,0,0
19,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,18,0,0
20,Andreas,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,18,0,0
21,Ziegler,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,18,0,0
22,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,18,0,0
23,Margot,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,18,0,0
24,Rauch,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,18,0,0
25,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,43,161,0,0
26,Ansatzpunkt,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,161,0,0
27,unserer,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,161,0,0
28,Untersuchung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,161,0,0
29,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,161,0,0
30,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,161,0,0
31,"These,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,161,0,0
32,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,161,0,0
33,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,161,0,0
34,meisten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,161,0,0
35,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,43,21,0,0
36,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
37,Umgangsweisen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
38,gegenüber,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
39,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
40,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
41,Behinderung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
42,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
43,Bildern,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,43,21,0,0
44,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
45,Vorstellungskonventionen,0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,8,3,21,0,0
46,ausrichten,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
47,(vgl.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
48,"Schönwiese,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
49,"1997,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,3,21,0,0
50,S.17;,0.2,1,0,5,2,0,0,0,0,0,0,0,8,43,21,0,0
51,"Mürner,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
52,"1989,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,5,21,0,0
53,S.9).,0.2,1,0,5,1,0,0,0,0,0,0,0,8,4,21,0,0
54,Zunächst,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
55,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
56,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
57,Bildnis,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
58,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
59,behinderten,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
60,Mannes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,43,21,0,0
61,"vorgestellt,",0.0,0,0,12,0,0,0,0,0,0,0,0,8,6,21,0,0
62,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
63,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
64,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
65,zweiten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,6,21,0,0
66,Hälfte,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,6,21,0,0
67,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
68,16.,0.0,0,0,3,2,0,0,0,0,0,0,1,8,6,21,0,0
69,Jahrhunderts,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,21,0,0
70,stammt.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,43,21,0,0
71,Für,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
72,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
73,Bildverständnis,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,4,21,0,0
74,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
75,hauptsächlich,0.0,0,0,13,0,0,0,0,0,0,0,0,8,4,21,0,0
76,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
77,kulturgeschicht­,0.0,0,0,16,0,0,0,0,0,0,0,0,8,4,21,0,0
78,lichen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,43,21,0,0
79,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
80,(kunst-)historischen,0.0,0,0,20,0,0,0,0,0,0,0,0,8,4,21,0,0
81,Bedingungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
82,"entscheidend,",0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
83,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
84,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
85,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
86,Klärung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,42,21,0,0
87,"dessen,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
88,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
89,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
90,heute,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
91,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
92,unserer,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
93,Sicht,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
94,bedeutet,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
95,(vgl.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
96,"Imhof,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
97,"1991,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,3,21,0,0
98,S.18).,0.16666666666666666,1,0,6,2,0,0,0,0,0,0,0,8,43,21,0,0
99,Dann,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
100,"folgen,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
101,"zweitens,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
102,Bemerkungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
103,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
104,spezifischen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
105,Betrachtungs­,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
106,standpunkten:,0.0,0,0,13,0,0,1,0,0,0,0,0,8,43,22,0,0
107,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,22,0,0
108,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,22,0,0
109,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,22,0,0
110,medizinischen,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,22,0,0
111,Blick,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,22,0,0
112,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,22,0,0
113,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,22,0,0
114,Perspektivi­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,22,0,0
115,tät.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,42,21,0,0
116,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
117,dritte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
118,Teil,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
119,nimmt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
120,darauf,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
121,"Bezug,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
122,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
123,Bilder,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
124,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
125,Anschaulichkeit,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,21,0,0
126,"beruhen,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,43,21,0,0
127,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
128,besonderes,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
129,Gewicht,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
130,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
131,pädagogisch-didaktischen,0.0,0,0,24,0,0,0,0,0,0,0,0,8,2,21,0,0
132,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
