,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Anne,0.25,1,0,4,0,0,0,0,0,0,0,0,8,151,63,0,0
1,Waldschmidt,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,63,0,0
2,Disability,0.1,1,0,10,0,0,0,0,0,0,0,0,12,59,87,0,1
3,Studies:,0.125,1,0,8,0,0,1,0,0,0,0,0,12,4,87,0,1
4,"Individuelles,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,5,87,0,1
5,soziales,0.0,0,0,8,0,0,0,0,0,0,0,0,12,4,87,0,1
6,und/oder,0.0,0,0,8,0,1,0,0,0,0,0,0,12,87,28,0,1
7,kulturelles,0.0,0,0,11,0,0,0,0,0,0,0,0,12,4,28,0,1
8,Modell,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,28,0,1
9,von,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,28,0,1
10,Behinderung?,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,147,28,0,1
11,Vorbemerkung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,43,171,0,1
12,Vorzugsweise,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,43,191,0,0
13,Anwendungswissenschaften,0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,8,4,191,0,0
14,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,191,0,0
15,"Medizin,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,191,0,0
16,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,191,0,0
17,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,191,0,0
18,Heil-,0.2,1,0,5,0,0,0,0,0,0,0,0,8,43,21,0,0
19,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
20,Sonderpädagogik,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,21,0,0
21,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
22,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
23,bislang,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
24,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,21,0,0
25,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
26,zwar,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
27,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
28,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
29,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
30,deutschsprachigen,0.0,0,0,17,0,0,0,0,0,0,0,0,8,43,22,0,0
31,Raum,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,22,0,0
32,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,4,22,0,0
33,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,22,0,0
34,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,22,0,0
35,Phänomen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,22,0,0
36,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,22,0,0
37,Behinderung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,22,0,0
38,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,22,0,0
39,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,22,0,0
40,Lebenssituation,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,43,21,0,0
41,behinderter,0.0,0,0,11,0,0,0,0,0,0,0,0,8,5,21,0,0
42,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,21,0,0
43,interessiert.,0.0,0,0,13,0,0,0,0,0,0,0,0,8,5,21,0,0
44,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,8,5,21,0,0
45,Grunde,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,21,0,0
46,geraten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,21,0,0
47,Abweichungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,43,21,0,0
48,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
49,"Auffälligkeiten,",0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,21,0,0
50,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
51,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
52,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
53,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
54,Ausdruck,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
55,"finden,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
56,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,8,43,21,0,0
57,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
58,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
59,Blick,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
60,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
61,"Wissenschaft,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,4,21,0,0
62,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
63,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
64,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
65,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
66,"Verhütung,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
67,Besei­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
68,tigung,0.0,0,0,6,0,0,0,0,0,0,0,0,8,43,21,0,0
69,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
70,Linderung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,5,21,0,0
71,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
72,gesundheitlichen,0.0,0,0,16,0,0,0,0,0,0,0,0,8,4,21,0,0
73,Schädigungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,21,0,0
74,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
75,Beein­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,21,0,0
76,trächtigungen,0.0,0,0,13,0,0,0,0,0,0,0,0,8,43,21,0,0
77,"geht,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
78,"kurz,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
79,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,21,0,0
80,"Prävention,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
81,Therapie,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
82,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
