,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Niklas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,125,68,0,0
1,Bornhauser,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,68,0,0
2,Narzissmus,0.1,1,0,10,0,0,0,0,0,0,0,0,12,68,92,0,1
3,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,92,0,1
4,Subjektivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,5,92,0,1
5,Psychoanalytische,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,52,108,0,0
6,Betrachtungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,108,0,0
7,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,108,0,0
8,zeitgemäßen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,108,0,0
9,Erscheinungsbildes,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,21,19,0,0
10,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
11,Berücksichtigung,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,19,0,0
12,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
13,zugrunde,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
14,liegenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
15,Dialektik,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,64,19,0,0
16,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
17,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,19,0,0
18,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
19,Individuum,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
20,Wie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,15,187,0,0
21,kaum,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,187,0,0
22,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,187,0,0
23,anderer,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,187,0,0
24,psychoanalytischer,0.0,0,0,18,0,0,0,0,0,0,0,0,8,4,187,0,0
25,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,187,0,0
26,zeichnet,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,187,0,0
27,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,187,0,0
28,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,187,0,0
29,Kon­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,187,0,0
30,zept,0.0,0,0,4,0,0,0,0,0,0,0,0,8,15,21,0,0
31,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
32,Narzissmus,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
33,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
34,seiner,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
35,offiziellen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
36,",Einführung<",0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
37,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
38,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
39,psychoana­,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
40,lytischen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,16,21,0,0
41,Diskurs,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
42,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
43,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
44,1914,0.0,0,0,4,4,0,0,0,0,0,1,1,8,4,21,0,0
45,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
46,seine,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
47,"ereignisreiche,",0.0,0,0,15,0,0,0,0,0,0,0,0,8,3,21,0,0
48,bewegte,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
49,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
50,teilweise,0.0,0,0,9,0,0,0,0,0,0,0,0,8,15,21,0,0
51,diskontinuierliche,0.0,0,0,18,0,0,0,0,0,0,0,0,8,2,21,0,0
52,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
53,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
