,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Annegret,0.125,1,0,8,0,0,0,0,0,0,0,0,8,128,70,0,0
1,Conrad,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,1,70,0,0
2,Bedeutungswandel,0.0625,1,0,16,0,0,0,0,0,0,0,0,12,37,93,0,1
3,undTherapieerfolg,0.058823529411764705,0,0,17,0,0,0,0,0,0,0,0,12,5,93,0,1
4,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,67,110,0,0
5,kontrollierten,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,110,0,0
6,Effektivitätsstudien,0.05,1,0,20,0,0,0,0,0,0,0,0,8,3,110,0,0
7,entgeht,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,110,0,0
8,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,17,159,0,0
9,verstärkte,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,159,0,0
10,Auseinandersetzung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,2,159,0,0
11,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,159,0,0
12,Effizienz-,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,159,0,0
13,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,159,0,0
14,Ökonomiefragen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,159,0,0
15,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,159,0,0
16,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,17,21,0,0
17,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
18,Psychotherapieforschung,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,8,4,21,0,0
19,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
20,besonderen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
21,Gewichtung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
22,solcher,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
23,For­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
24,schungsergebnisse,0.0,0,0,17,0,0,0,0,0,0,0,0,8,17,21,0,0
25,"geführt,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,21,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
27,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,21,0,0
28,Rahmen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,21,0,0
29,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
30,Efficacy-Studien,0.125,1,0,16,0,0,0,0,0,0,0,0,8,5,21,0,0
31,erzielt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,21,0,0
32,wurden.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,17,21,0,0
33,Ausgerichtet,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
34,am,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
35,Vorbild,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
36,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
37,pharmakologischen,0.0,0,0,17,0,0,0,0,0,0,0,0,8,4,21,0,0
38,Wirksamkeits­,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
39,forschung,0.0,0,0,9,0,0,0,0,0,0,0,0,8,17,21,0,0
40,sollen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,21,0,0
41,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
42,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
43,Identifizierung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,5,21,0,0
44,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
45,Behandlungsmaßnahmen,0.05,1,0,20,0,0,0,0,0,0,0,0,8,5,21,0,0
46,"führen,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,17,21,0,0
47,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
48,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
49,Hinblick,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
50,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
51,bestimmte,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
52,»psychische,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
53,Störungen«,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
54,besonders,0.0,0,0,9,0,0,0,0,0,0,0,0,8,5,21,0,0
55,wirksam,0.0,0,0,7,0,0,0,0,0,0,0,0,8,17,21,0,0
56,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
57,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
58,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
59,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
60,Gesundheitsversorgung,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,8,5,21,0,0
61,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
62,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
63,Effizienz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,5,21,0,0
64,verhelfen.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,17,21,0,0
65,So,0.5,1,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
66,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
67,Efficacy-Studien,0.125,1,0,16,0,0,0,0,0,0,0,0,8,4,21,0,0
68,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
69,gesundheitspolitische,0.0,0,0,21,0,0,0,0,0,0,0,0,8,4,21,0,0
70,Auswahl­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
71,funktion,0.0,0,0,8,0,0,0,0,0,0,0,0,8,17,22,0,0
72,erfüllen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,22,0,0
73,"mögen,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,22,0,0
74,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,22,0,0
75,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,22,0,0
76,dennoch,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,22,0,0
77,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,22,0,0
78,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,22,0,0
79,Gegenstand,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,22,0,0
80,heftiger,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,22,0,0
81,Kontroversen.,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,17,21,0,0
82,Positivistische,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,21,0,0
83,Psychotherapieforschung,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,8,2,21,0,0
84,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
