,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Matthias,0.125,1,0,8,0,0,0,0,0,0,0,0,8,125,69,0,0
1,Michaeler,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,69,0,0
2,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,53,91,0,1
3,relationale,0.0,0,0,11,0,0,0,0,0,0,0,0,12,5,91,0,1
4,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,91,0,1
5,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,91,0,1
6,Gergen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,91,0,1
7,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,44,107,0,0
8,erfolgreiches,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,107,0,0
9,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,107,0,0
10,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,107,0,0
11,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,107,0,0
12,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,107,0,0
13,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,107,0,0
14,Erfolgreiche?,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,107,0,0
15,Kenneth,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,15,135,0,0
16,Gergen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,135,0,0
17,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,135,0,0
18,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,135,0,0
19,"Autor,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,135,0,0
20,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,135,0,0
21,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,135,0,0
22,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,135,0,0
23,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,135,0,0
24,postmodernen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,135,0,0
25,Diskurs,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,135,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,135,0,0
27,Wissenschaften,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,14,21,0,0
28,einreihen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,5,21,0,0
29,kann.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
30,Dabei,0.2,1,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
31,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
32,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
33,ihm,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
34,"interessant,",0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,21,0,0
35,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
36,er,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,21,0,0
37,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,15,21,0,0
38,Psychologe,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
39,gerade,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
40,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
41,Psychische,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
42,"(Gefühle,",0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
43,"Gedanken,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
44,Wünsche,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
45,usw.),0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
46,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,15,21,0,0
47,individuelle,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
48,Eigenschaft,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
49,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
50,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
51,negiert,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
52,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
53,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
54,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
55,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
56,gesell­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
57,schaftlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,15,21,0,0
58,Diskurse,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
59,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
60,Wirklichkeitskonstruktionen,0.037037037037037035,1,0,27,0,0,0,0,0,0,0,0,8,3,21,0,0
61,konzentriert.,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
62,Dem,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
63,allgemeinen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,15,21,0,0
64,Sprachdiskurs,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
65,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
66,postmodernen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
67,Denkens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
68,folgend,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
69,erkennt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
70,"er,",0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
71,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,15,21,0,0
72,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
73,>Wirklichkeiten<,0.0625,0,0,16,0,0,0,0,0,0,0,0,8,4,21,0,0
74,nichts,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
75,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
76,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
77,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
78,Objekte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
79,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
80,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
81,Realität,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
82,"aussagen,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,15,21,0,0
83,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
84,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
85,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
86,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
87,hierbei,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
