,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Dieter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,129,69,0,1
1,Scheib/er,0.1111111111111111,1,0,9,0,1,0,0,0,0,0,0,9,2,69,0,1
2,»Nicht,0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,12,69,92,0,1
3,optimal,0.0,0,0,7,0,0,0,0,0,0,0,0,12,4,92,0,1
4,gelaufen,0.0,0,0,8,0,0,0,0,0,0,0,0,12,5,92,0,1
5,...,0.0,0,0,3,0,0,0,0,0,0,0,0,12,2,92,0,1
6,?«,0.0,0,0,2,0,0,0,0,0,0,0,0,13,1,92,0,1
7,Einige,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,33,108,0,1
8,Diskursmuster,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,108,0,1
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,108,0,1
10,Entpolitisierung,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,108,0,1
11,beim,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,108,0,1
12,Sozialabbau',0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,108,0,1
13,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,8,14,154,0,1
14,Folgenden,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,154,0,0
15,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,154,0,0
16,am,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,154,0,0
17,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,154,0,0
18,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,154,0,0
19,Schließung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,154,0,0
20,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,154,0,0
21,Familienberatungs­,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,4,154,0,0
22,stelle,0.0,0,0,6,0,0,0,0,0,0,0,0,8,14,21,0,0
23,"aufgezeigt,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
24,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
25,gesamtgesellschaftliche,0.0,0,0,23,0,0,0,0,0,0,0,0,8,3,21,0,0
26,Diskursmuster,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,4,21,0,0
27,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
28,hinein,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
29,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
30,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,14,21,0,0
31,Praxis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
32,sozialer,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
33,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
34,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
35,Entpolitisierung,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,21,0,0
36,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
37,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
38,Sozialabbau,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
39,dienen.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
40,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,8,31,200,0,1
41,Herbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,200,0,0
42,2003,0.0,0,0,4,4,0,0,0,0,0,1,1,8,3,200,0,0
43,entschied,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,200,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,200,0,0
45,Vorstand,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,200,0,0
46,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,200,0,0
47,"XXX2,",0.6,1,0,5,1,0,0,0,0,0,0,0,9,3,200,0,0
48,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,200,0,0
49,Familien­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,200,0,0
50,beratungsstelle,0.0,0,0,15,0,0,0,0,0,0,0,0,8,31,22,0,0
51,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,22,0,0
52,schließen.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,22,0,0
53,Damit,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,22,0,0
54,verloren,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,22,0,0
55,250,0.0,0,0,3,3,0,0,0,0,0,0,1,8,3,22,0,0
56,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,22,0,0
57,300,0.0,0,0,3,3,0,0,0,0,0,0,1,8,3,22,0,0
58,Familien,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,22,0,0
59,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,31,21,0,0
60,Jahr,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
61,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
62,AnsprechpartnerInnen.,0.09523809523809523,1,0,21,0,0,0,0,0,0,0,0,8,3,21,0,0
63,Sieben,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
64,Personen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
65,verloren,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
66,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
67,Arbeitsstellen.,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,31,21,0,0
68,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,39,21,0,0
69,Schließung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
70,konnte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
71,reibungslos,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
72,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
73,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
74,Bühne,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
75,"gehen,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
76,da,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
77,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
78,Geschehen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,31,21,0,0
79,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,6,21,0,0
80,geschicktes,0.0,0,0,11,0,0,0,0,0,0,0,0,8,6,21,0,0
81,Agieren,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,6,21,0,0
82,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
83,Vorstandes,0.1,1,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
84,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
85,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
