,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Michael,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,128,69,0,1
1,Vollmuth,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,69,0,1
2,Überlegungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,35,92,0,1
3,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,92,0,1
4,Gesundheitsbegriff,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,12,5,92,0,1
5,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,81,28,0,1
6,Lichte,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,28,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,28,0,1
8,Autopoiese,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,28,0,1
9,Nach,0.25,1,0,4,0,0,0,0,0,0,0,0,8,15,173,0,0
10,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
11,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
12,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
13,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
14,Gesundheitsbegriff,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,3,173,0,0
15,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,173,0,0
16,abschließend,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,173,0,0
17,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,173,0,0
18,definieren.,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,173,0,0
19,Umso,0.25,1,0,4,0,0,0,0,0,0,0,0,8,15,21,0,0
20,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
21,dient,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
22,er,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
23,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
24,Worthülse,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
25,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
26,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
27,Vielzahl,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
28,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
29,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
30,weniger,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
31,differenzierter,0.0,0,0,15,0,0,0,0,0,0,0,0,8,15,21,0,0
32,Vorstellungen.,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,5,21,0,0
33,Ausgehend,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,5,21,0,0
34,"davon,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,21,0,0
35,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
36,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
37,Auseinander­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,21,0,0
38,setzung,0.0,0,0,7,0,0,0,0,0,0,0,0,8,15,21,0,0
39,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
40,Gesundheit,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
41,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
42,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
43,(1),0.0,0,0,3,1,0,0,0,0,0,0,0,8,3,21,0,0
44,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
45,Wertsetzung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
46,"bedeutet,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
