,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Über,0.25,1,0,4,0,0,0,0,0,0,0,0,11,13,62,0,1
1,den,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,62,0,1
2,Umgang,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,3,62,0,1
3,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,62,0,1
4,biographischer,0.0,0,0,14,0,0,0,0,0,0,0,0,11,3,62,0,1
5,Unsicherheit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,11,4,62,0,1
6,-,0.0,0,0,1,0,0,0,0,0,0,0,0,13,3,62,0,0
7,Implikationen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,11,13,27,0,1
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,27,0,1
9,„Modernisierung,0.06666666666666667,0,0,15,0,0,0,0,0,0,0,0,11,3,27,0,1
10,der,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,27,0,1
11,"Moderne""')",0.1,1,0,10,0,0,0,0,0,0,0,0,11,3,27,0,1
12,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,13,97,0,1
13,Monika,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,97,0,1
14,Wohlrab-Sahr,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,8,2,97,0,1
15,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,14,120,0,1
16,Unsicherheit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,120,0,1
17,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,120,0,1
18,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,120,0,1
19,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,120,0,1
20,Soziologie,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,120,0,1
21,Unsicherheit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,21,135,0,0
22,schien,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,135,0,0
23,lange,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,135,0,0
24,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,135,0,0
25,kein,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,135,0,0
26,allzu,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,135,0,0
27,relevantes,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,135,0,0
28,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,8,1,135,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,135,0,0
30,Soziologie,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,135,0,0
31,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,135,0,0
32,sein.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,135,0,0
33,Wo,0.5,1,0,2,0,0,0,0,0,0,0,0,8,13,21,0,0
34,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
35,dennoch,0.0,0,0,7,0,0,0,0,0,0,0,0,8,1,21,0,0
36,-etwa,0.0,0,0,5,0,0,0,0,0,0,0,0,10,2,21,0,0
37,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
38,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
39,Analyse,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
40,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
41,"Zusammenhane""s",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,10,1,21,0,0
42,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
43,sozialem,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
44,Wandel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,1,21,0,0
45,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
46,Identität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,13,21,0,0
47,-,0.0,0,0,1,0,0,0,0,0,0,0,0,10,3,21,0,0
48,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
49,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
50,Tagesordnung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,21,0,0
51,"stand,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
52,geschah,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
53,dies,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
54,oft,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
55,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
56,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
57,kulturkritischen,0.0,0,0,16,0,0,0,0,0,0,0,0,8,3,21,0,0
58,Blickwinkel,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,13,21,0,0
59,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
60,Erosion,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,21,1,0
61,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
62,Sicherheit.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
63,Nicht,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
64,selten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
65,ging,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
66,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
67,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
68,Konnotation,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
69,so-,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
70,zialer,0.0,0,0,6,0,0,0,0,0,0,0,0,8,13,19,0,0
71,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
72,individueller,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,19,0,0
73,Pathologie,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
74,einher.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
75,Wahrend,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
76,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
