,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Beschreiben,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,12,56,0,1
1,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,56,0,1
2,Zeigen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,56,0,1
3,-,0.0,0,0,1,0,0,0,0,0,0,0,0,12,6,56,0,1
4,Über,0.25,1,0,4,0,0,0,0,0,0,0,0,12,12,25,0,1
5,das,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,25,0,1
6,Verfassen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,2,25,0,1
7,Ethnographischer,0.0625,1,0,16,0,0,0,0,0,0,0,0,12,3,25,0,1
8,Berichte,0.125,1,0,8,0,0,0,0,0,0,0,0,12,218,70,0,1
9,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,11,92,0,1
10,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,9,1,92,0,1
11,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,92,0,1
12,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,8,12,163,0,1
13,Einleitung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,163,0,1
14,"""",0.0,0,0,1,0,0,0,0,0,0,0,0,9,138,112,0,0
15,...,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,112,0,0
16,unsere,0.0,0,0,6,0,0,0,0,0,0,0,0,9,6,112,0,0
17,ganzeWelt,0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,9,1,112,0,0
18,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,112,0,0
19,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,112,0,0
20,"Welt,",0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,112,0,0
21,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,112,0,0
22,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,112,0,0
23,verstehen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,112,0,0
24,kön-,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,112,0,0
25,nen,0.0,0,0,3,0,0,0,0,0,0,0,0,9,138,18,0,0
26,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,1,18,0,0
27,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,18,0,0
28,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,18,0,0
29,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,9,1,18,0,0
30,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,0,18,0,0
31,Darstellung.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,18,0,0
32,(,0.0,0,0,1,0,0,0,0,0,0,0,0,9,1,18,0,0
33,...,0.0,0,0,3,0,0,0,0,0,0,0,0,9,0,18,0,0
34,),0.0,0,0,1,0,0,0,0,0,0,0,0,9,4,18,0,0
35,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,18,0,0
36,Darstellun-,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,18,0,0
37,gen,0.0,0,0,3,0,0,0,0,0,0,0,0,8,137,18,0,0
38,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,18,0,0
39,unser,0.0,0,0,5,0,0,0,0,0,0,0,0,8,1,18,0,0
40,"Wissenobsolet,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,1,18,0,0
41,während,0.0,0,0,7,0,0,0,0,0,0,0,0,8,1,18,0,0
42,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,0,18,0,0
43,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,18,0,0
44,Formen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,1,18,1,0
45,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,18,0,0
46,Dingen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,137,18,1,0
47,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,18,0,0
48,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,18,0,0
49,Darstellungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,18,0,0
50,"wissen.""",0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,18,0,0
51,(Ch.,0.25,0,0,4,0,0,0,0,0,0,0,0,8,275,18,0,0
52,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,4,18,0,0
53,Peirce,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,1,18,1,0
54,1857),0.0,0,0,5,4,0,0,0,0,0,0,0,8,3,18,1,0
55,Bekanntlich,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,18,181,0,0
