,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,"""Ich",0.25,0,0,4,0,0,0,0,0,0,0,0,13,56,49,0,1
1,"liebe,",0.0,0,0,6,0,0,0,0,0,0,0,0,13,4,49,0,1
2,"liebe,",0.0,0,0,6,0,0,0,0,0,0,0,0,13,5,49,0,1
3,liebe,0.0,0,0,5,0,0,0,0,0,0,0,0,13,5,49,0,1
4,"Dich""",0.2,1,0,5,0,0,0,0,0,0,0,0,13,5,49,0,1
5,Zum,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,56,68,0,1
6,Gebrauch,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,68,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,68,0,1
8,Fernsehsendung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,68,0,1
9,"""Traumhochzeit""",0.06666666666666667,0,0,15,0,0,0,0,0,0,0,0,9,7,68,0,1
10,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,68,0,1
11,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,68,0,1
12,Kandidaten.'),0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,68,0,1
13,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,55,104,0,1
14,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,104,0,1
15,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,104,0,1
16,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,56,140,0,1
17,"Surprise,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,140,0,1
18,Surprise,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,140,0,1
19,Hörsaal,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,63,162,0,0
20,1,0.0,0,0,1,1,0,0,0,0,0,0,1,9,7,162,0,0
21,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,162,0,0
22,bundesdeutschen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,5,162,0,0
23,Universität.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,9,162,0,0
