,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,"""Wir",0.25,0,0,4,0,0,0,0,0,0,0,0,12,25,63,0,1
1,kümmern,0.0,0,0,7,0,0,0,0,0,0,0,0,12,1,63,0,1
2,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,12,7,63,0,1
3,um,0.0,0,0,2,0,0,0,0,0,0,0,0,12,5,63,0,1
4,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,12,5,63,0,1
5,als,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,63,0,1
6,"Autos""",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,63,0,1
7,Werbung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,25,76,0,1
8,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,76,0,1
9,moralische,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,76,0,1
10,Unternehmung!),0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,5,76,0,1
11,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,24,102,0,1
12,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,102,0,1
13,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,102,0,1
14,""".",0.0,0,0,2,0,0,0,0,0,0,0,0,8,165,122,1,0
15,.,0.0,0,0,1,0,0,0,0,0,0,0,0,8,4,122,1,0
16,.,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,122,1,0
17,"zuweilen,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,122,1,0
18,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,122,1,0
19,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,122,1,0
20,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,122,1,0
21,Frühling,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,122,1,0
22,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,122,1,0
23,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,122,1,0
24,Wiesen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,122,1,0
25,"geht,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,165,17,1,0
26,findet,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,17,1,0
27,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,7,17,1,0
28,"dünne,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,6,17,1,0
29,glanzlose,0.0,0,0,9,0,0,0,0,0,0,0,0,8,5,17,1,0
30,Hüllen:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,8,4,17,1,0
31,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,17,1,0
32,leeren,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,17,1,0
33,Häute,0.2,1,0,5,0,0,0,0,0,0,0,0,8,165,17,1,0
34,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
35,Schlangen.,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,17,1,0
36,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
37,ganze,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,17,1,0
38,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,17,1,0
39,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
40,"da,",0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
41,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
42,Maße,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,17,1,0
43,stimmen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,165,17,1,0
44,"genau,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,17,1,0
45,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,17,1,0
46,"Augenhöhlen,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,1,17,1,0
47,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,17,1,0
48,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,17,1,0
49,lebendige,0.0,0,0,9,0,0,0,0,0,0,0,0,8,1,17,1,0
50,Tier,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,17,1,0
51,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,166,17,1,0
