,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,"""Published",0.1,0,0,10,0,0,0,0,0,0,0,0,12,70,613,0,0
1,as,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,613,0,0
2,‘Exhibiting,0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,12,3,613,0,0
3,Interaction:,0.08333333333333333,1,0,12,0,0,1,0,0,0,0,0,12,3,613,0,0
4,Conduct,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,613,0,0
5,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,613,0,0
6,Collaboration,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,613,0,0
7,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,613,0,0
8,Museums,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,613,0,0
9,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,613,0,0
10,Galleries’,0.1,1,0,10,0,0,0,0,0,0,0,0,12,70,25,0,0
11,©,0.0,0,0,1,0,0,0,0,0,0,0,0,12,3,25,0,0
12,2001,0.0,0,0,4,4,0,0,0,0,0,1,1,12,3,25,0,0
13,by,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
14,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
15,Regents,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,25,0,0
16,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
17,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
18,University,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,25,0,0
19,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
20,California/Society,0.1111111111111111,1,0,18,0,1,0,0,0,0,0,0,12,3,25,0,0
21,for,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
22,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
23,Study,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,25,0,0
24,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,70,25,0,0
25,Symbolic,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
26,Interaction.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,25,0,0
27,Copying,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,25,0,0
28,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
29,permissions,0.0,0,0,11,0,0,0,0,0,0,0,0,12,3,25,0,0
30,notice:,0.0,0,0,7,0,0,1,0,0,0,0,0,12,3,25,0,0
31,Authorization,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,25,0,0
32,to,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
33,copy,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
34,this,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
35,content,0.0,0,0,7,0,0,0,0,0,0,0,0,12,70,25,0,0
36,beyond,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
37,fair,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
38,use,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
39,(as,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
40,specified,0.0,0,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
41,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
42,Sections,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
43,107,0.0,0,0,3,3,0,0,0,0,0,0,1,12,3,25,0,0
44,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
45,108,0.0,0,0,3,3,0,0,0,0,0,0,1,12,3,25,0,0
46,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
47,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
48,U.,0.5,1,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
49,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
50,Copyright,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
51,Law),0.25,1,0,4,0,0,0,0,0,0,0,0,12,70,25,0,0
52,for,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
53,internal,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
54,or,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
55,personal,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
56,"use,",0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
57,or,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
58,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
59,internal,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
60,or,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
61,personal,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
62,use,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
63,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
64,specific,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
65,"clients,",0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
66,is,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
67,granted,0.0,0,0,7,0,0,0,0,0,0,0,0,12,70,25,0,0
68,by,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
69,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
70,Regents,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,25,0,0
71,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
72,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
73,University,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,25,0,0
74,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
75,California/on,0.07692307692307693,1,0,13,0,1,0,0,0,0,0,0,12,3,25,0,0
76,behalf,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
77,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
78,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
79,Society,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,25,0,0
80,for,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
81,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
82,Study,0.2,1,0,5,0,0,0,0,0,0,0,0,12,70,25,0,0
83,of,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,25,0,0
84,Symbolic,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
85,Interaction,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,25,0,0
86,for,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
87,libraries,0.0,0,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
88,and,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
89,other,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,25,0,0
90,"users,",0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,25,0,0
91,provided,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,0
92,that,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
93,they,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
94,are,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,25,0,0
